position, player, projection, salary
K,Graham Shayne,12,4700
K,Parkey Cody,12,4900
K,Gostkowski Stephen,10,5400
K,Hauschka Steven,10,5400
K,Freese Nate,9,4500
K,Folk Nick,9,4800
K,Gould Robbie,9,4700
K,Zuerlein Greg,9,4500
K,Cundiff Billy,9,4500
K,Gano Graham,8,5200
K,McManus Brandon,7,5000
K,Catanzaro Chandler,7,4800
K,Vinatieri Adam,6,5000
K,Scobee Josh,6,4500
K,Bullock Randy,6,4500
K,Bailey Dan,5,5300
K,Novak Nick,5,5100
K,Dawson Phil,4,5300
K,Santos Cairo,4,5000
K,Crosby Mason,4,5300
K,Tucker Justin,4,5200
K,Brown Josh,2,4700
K,Murray Patrick,2,4500
K,Janikowski Sebastian,2,4600
K,Forbath Kai,0,4500
DEF,Minnesota Defense,22,5000
DEF,Houston Defense,18,4700
DEF,San Francisco Defense,18,5600
DEF,Philadelphia Defense,14,5000
DEF,Tennessee Defense,14,5000
DEF,Jacksonville Defense,11,4500
DEF,Miami Defense,11,5100
DEF,Carolina Defense,10,5500
DEF,Buffalo Defense,9,5000
DEF,San Diego Defense,9,5200
DEF,Cincinnati Defense,8,5400
DEF,Seattle Defense,8,5700
DEF,Denver Defense,7,5400
DEF,Oakland Defense,7,4800
DEF,Detroit Defense,7,4600
DEF,Washington Defense,7,4700
DEF,New England Defense,6,5400
DEF,Cleveland Defense,5,5100
DEF,Kansas City Defense,4,5400
DEF,New York J Defense,3,5000
DEF,Atlanta Defense,3,4900
DEF,Chicago Defense,3,5300
DEF,Arizona Defense,3,5300
DEF,Pittsburgh Defense,3,5200
DEF,Tampa Bay Defense,2,4900
DEF,Green Bay Defense,2,5200
DEF,Baltimore Defense,2,5200
DEF,Dallas Defense,1,4800
DEF,St. Louis Defense,1,5400
DEF,Indianapolis Defense,0,4800
DEF,New Orleans Defense,-1,4800
DEF,New York G Defense,-3,5200
