position, player, projection, salary
RB,Young Darrel,7,4500
RB,Robinson Khiry,6.9,4700
RB,Ridley Stevan,6.6,6200
RB,Stewart Jonathan,6.5,5100
RB,Polk Chris,6,4500
RB,Vereen Shane,5.7,6300
RB,DiMarco Patrick,5,4500
RB,Sproles Darren,4.5,6000
RB,Reece Marcel,4.1,4500
RB,Grimes Jonathan,4.1,4500
RB,Cunningham Benny,3.9,4500
RB,Tolbert Mike,3.9,4700
RB,Starks James,3.8,6900
RB,Ball Montee,3.4,7800
RB,Johnson Chris,3.4,6800
RB,Robinson Denard,3.3,4500
RB,Bell Joique,3.3,6800
RB,Ta'ufo'ou Will,3.1,4500
RB,Lacy Eddie,3,8200
RB,Powell Bilal,2.9,4500
RB,McCluster Dexter,2.5,4500
RB,Watts Trey,2.4,4600
RB,McCoy LeSean,2.2,9200
RB,Coleman Derrick,1.9,4500
RB,McKinnon Jerick,1.8,4500
RB,Williams Andre,1.8,5000
RB,Riddick Theo,1.6,4500
RB,Peerman Cedric,1.5,4500
RB,Rodgers Jacquizz,1.4,4800
RB,Hillman Ronnie,1.4,4600
RB,Brown Ronnie,1.2,5000
RB,Hewitt Ryan,1.1,4500
WR,Jones Julio,32.6,8500
WR,Brown Antonio,26,8200
WR,Maclin Jeremy,25.4,6300
WR,Garcon Pierre,25.3,6500
WR,Matthews Jordan,21.9,4800
WR,Benjamin Kelvin,21.5,6500
WR,Sanders Emmanuel,20.4,7800
WR,Jackson DeSean,20.2,6100
WR,Crabtree Michael,19.4,6500
WR,Brown John,19.2,4500
WR,Cruz Victor,19.2,6600
WR,Royal Eddie,18.2,4900
WR,Bryant Dez,17.9,8600
WR,Kerley Jeremy,17.6,4900
WR,Hester Devin,17,4600
WR,Jeffery Alshon,15.8,7600
WR,Johnson Steve,14.8,4900
WR,Hopkins DeAndre,14.6,6200
WR,Austin Miles,14.1,4900
WR,Floyd Michael,13.9,6300
WR,Edelman Julian,13.9,6900
WR,Quick Brian,13.2,5200
WR,Green A.J.,13.2,8400
WR,Nicks Hakeem,13,5800
WR,Hurns Allen,12.8,5600
WR,Smith Steve,12.6,6200
WR,Johnson Damaris,12.6,4500
WR,Hawkins Andrew,12.2,5300
WR,Shorts Cecil,12,5900
WR,Sanu Mohamed,11.62,6100
WR,Cooks Brandin,11.4,6300
WR,Robinson Allen,11.4,5000
WR,Johnson Calvin,11.2,9000
WR,Wallace Mike,11.1,6500
WR,Floyd Malcom,10.8,4500
WR,Hilton T.Y.,10.5,6500
WR,Lockette Ricardo,10.4,4500
WR,Pettis Austin,10.3,4500
WR,Williams Terrance,10.2,6000
WR,Hartline Brian,10,4500
WR,Britt Kenny,9.6,4500
WR,Colston Marques,9.5,5600
WR,Jennings Greg,9.5,5500
WR,Welker Wes,9,6900
WR,Gabriel Taylor,8.9,4500
WR,Weems Eric,8.9,4500
WR,Jackson Vincent,8.5,7200
WR,Douglas Harry,8.4,5100
WR,Nelson Jordy,8.4,8600
WR,Moncrief Donte,8.2,5000
WR,Wayne Reggie,8.2,6800
WR,Brown Philly,8.1,4500
WR,Harvin Percy,7.7,7700
WR,Tate Golden,7.6,5000
WR,Baldwin Doug,7.6,4500
WR,Patterson Cordarrelle,7.4,6900
WR,Evans Mike,7.2,6000
WR,Thomas Demaryius,7.1,8700
WR,Wright Kendall,6.9,5900
WR,LaFell Brandon,6.6,4500
WR,Boldin Anquan,6.6,6400
WR,Salas Greg,6.6,4500
WR,Roberts Andre,5.8,4900
WR,Jones James,5.8,5500
WR,Stills Kenny,5.8,4700
WR,Fuller Corey,5.7,4500
WR,Wheaton Markus,5.5,5100
WR,Cooper Riley,5.4,5400
WR,Randle Rueben,5.2,5600
WR,Hunter Justin,5.2,5400
WR,Parker Preston,4.8,4500
WR,Bowe Dwayne,4.7,6400
WR,Streater Rod,4.7,5000
WR,Benjamin Travis,4.6,4500
WR,Cobb Randall,4.4,8100
WR,Johnson Andre,4.4,7100
WR,Landry Jarvis,3.9,4500
TE,Bennett Martellus,19.9,6000
TE,Olsen Greg,15.4,6100
TE,Fleener Coby,12.9,5400
TE,Allen Dwayne,12.3,5200
TE,Quarless Andrew,12.3,4500
TE,Kendricks Lance,11.9,4500
TE,Gronkowski Rob,11.9,7700
TE,Hill Josh,11.8,4500
TE,Kelce Travis,11.1,4900
TE,Cook Jared,11,5200
TE,Chandler Scott,9.9,5300
TE,Paul Niles,9.8,5000
TE,Thomas Julius,9.2,8000
TE,Fells Daniel,9.2,4500
TE,Tamme Jacob,9.2,4500
TE,Graham Jimmy,8.4,8400
TE,Green Ladarius,8.4,4500
TE,Walker Delanie,7.4,5900
TE,Miller Heath,7.1,4900
TE,Amaro Jace,6.9,4500
TE,Witten Jason,6.9,6000
TE,Graham Garrett,6.6,4800
TE,Myers Brandon,5.8,4600
TE,Donnell Larry,5.5,4900
TE,Carlson John,4.8,4800
TE,Rudolph Kyle,4.2,5400
TE,Clay Charles,3.6,5100
TE,Stevens Craig,3.6,4500
TE,Cumberland Jeff,3.3,4500
TE,Fasano Anthony,3.3,5000
TE,Cameron Jordan,2.8,6200
