position, player, projection, salary
K,Gano Graham,8,5200
K,Novak Nick,7,5100
K,Gould Robbie,7,4600
K,Santos Cairo,6,4700
K,Crosby Mason,6,5000
K,Forbath Kai,5,4900
K,Suisham Shaun,5,4800
K,Nugent Mike,5,5100
K,Bullock Randy,5,5200
K,Walsh Blair,4,5300
K,Succop Ryan,4,4700
K,Zuerlein Greg,4,5100
K,Henery Alex,2,4800
K,Folk Nick,0,4800
DEF,Green Bay Defense,22,4800
DEF,Carolina Defense,18,5200
DEF,Philadelphia Defense,17,5300
DEF,San Diego Defense,16,5400
DEF,Pittsburgh Defense,15,5400
DEF,Buffalo Defense,14,5000
DEF,New England Defense,14,5300
DEF,Indianapolis Defense,14,5400
DEF,Detroit Defense,11,4800
DEF,Jacksonville Defense,10,4500
DEF,Baltimore Defense,10,4900
DEF,Tampa Bay Defense,8,4600
DEF,Houston Defense,8,5000
DEF,Chicago Defense,8,4900
DEF,St. Louis Defense,7,4600
DEF,Cleveland Defense,6,4800
DEF,New Orleans Defense,5,5000
DEF,Denver Defense,4,5100
DEF,New York J Defense,4,4600
DEF,Atlanta Defense,4,4500
DEF,New York G Defense,4,5100
DEF,Dallas Defense,3,4700
DEF,Kansas City Defense,3,5000
DEF,San Francisco Defense,3,5300
DEF,Washington Defense,3,4500
DEF,Tennessee Defense,3,4600
DEF,Seattle Defense,2,5500
DEF,Arizona Defense,1,4800
DEF,Minnesota Defense,0,4900
DEF,Cincinnati Defense,-3,5300
