position, player, projection, salary
WR,Hammond Frankie,0,4500,9
WR,Osgood Kassim,0,4500,9
WR,Street Devin,0,4500,9
WR,Thielen Adam,0,4800,9
WR,Herron Robert,0,4800,9
WR,Moore Denarius,0,4500,9
WR,Williams Damian,0,4500,9
WR,Salas Greg,0,4600,9
WR,Shepard Russell,0,4500,9
TE,Gronkowski Rob,21,7900,9
TE,Rivera Mychal,19.8,5000,9
TE,Graham Jimmy,17.8,7000,9
TE,Fleener Coby,15.7,5100,9
TE,Ford Chase,15.1,5000,9
TE,Clay Charles,15,4900,9
TE,Kelce Travis,14.7,5400,9
TE,Allen Dwayne,12.8,6200,9
TE,Spaeth Matt,11.8,4500,9
TE,Donnell Larry,10.5,5400,9
TE,Thomas Julius,10.3,7800,9
TE,Fasano Anthony,9.9,5000,9
TE,Witten Jason,9.2,5700,9
TE,Carlson John,8.9,4600,9
TE,Daniels Owen,8.3,5500,9
TE,Gillmore Crockett,6.6,4900,9
TE,Gresham Jermaine,6.1,5100,9
TE,Ellison Rhett,5,4500,9
TE,Olsen Greg,4.5,7200,9
TE,Gates Antonio,4.3,7100,9
TE,Dray Jim,3.1,4900,9
TE,Davis Vernon,2.9,5700,9
TE,Paul Niles,2.8,4900,9
TE,Barnidge Gary,2.6,4500,9
TE,Reed Jordan,2.2,5500,9
TE,Cook Jared,2.2,4900,9
TE,Willson Luke,2.1,5100,9
TE,Hoskins Gator,1.9,4500,9
TE,Miller Heath,1.9,5400,9
TE,Celek Brent,1.7,4500,9
TE,Tamme Jacob,1.5,4700,9
TE,Kendricks Lance,1.2,4800,9
TE,Carrier Derek,1.1,4600,9
TE,Harris Demetrius,1.1,4500,9
TE,Williams Brandon,1.1,4500,9
TE,Ertz Zach,0.9,5400,9
TE,Watson Ben,0.9,4800,9
TE,Seferian-Jenkins Austin,0.8,5000,9
TE,Helfet Cooper,0,5000,9
TE,Burton Trey,0,4500,9
TE,Casey James,0,4500,9
TE,Paulsen Logan,0,4500,9
TE,Doyle Jack,0,4600,9
TE,Niklas Troy,0,4500,9
TE,Wright Tim,0,5800,9
TE,Cumberland Jeff,0,4900,9
TE,Fells Daniel,0,5100,9
TE,Phillips John,0,4800,9
TE,Escobar Gavin,0,5300,9
TE,Myers Brandon,0,4600,9
TE,Amaro Jace,0,5100,9
TE,Green Ladarius,0,4800,9
TE,Griffin Ryan,0,4500,9
TE,Sudfeld Zach,0,4500,9
TE,Dickson Ed,0,4600,9
TE,Hoomanawanui Michael,0,4500,9
TE,Housler Rob,0,4800,9
TE,Leonhardt Brian,0,4600,9
TE,Hill Josh,0,4900,9
TE,Stocker Luke,0,4500,9
TE,Harkey Cory,0,4600,9
TE,Graham Garrett,0,4800,9
TE,Gray Marqueis,0,4500,9
TE,Palmer Michael,0,4800,9
TE,Robinson Adrien,0,4500,9
TE,McDonald Vance,0,4500,9
TE,Johnson David,0,4500,9
TE,Hanna James,0,4500,9
TE,Harbor Clay,0,5200,9
TE,Fiedorowicz C.J.,0,4600,9
K,Vinatieri Adam,19,5100,9
K,Gostkowski Stephen,15,5400,9
K,Sturgis Caleb,13,4900,9
K,Hauschka Steven,13,5000,9
K,Cundiff Billy,12,4600,9
K,Forbath Kai,8,5000,9
K,Parkey Cody,8,5000,9
K,Bailey Dan,7,5400,9
K,Nugent Mike,7,5100,9
K,Zuerlein Greg,7,4500,9
K,Janikowski Sebastian,7,4900,9
K,Santos Cairo,6,4800,9
K,Brown Josh,6,5000,9
K,Murray Patrick,6,4700,9
K,Tucker Justin,6,5300,9
K,Suisham Shaun,5,4900,9
K,Scobee Josh,5,4600,9
K,Catanzaro Chandler,4,4900,9
K,Dawson Phil,4,5100,9
K,Folk Nick,4,4600,9
K,Graham Shayne,4,4800,9
K,Gano Graham,4,5100,9
K,McManus Brandon,3,4600,9
K,Walsh Blair,3,4900,9
K,Bullock Randy,3,4800,9
K,Novak Nick,0,4700,9
DEF,Miami Defense,22,5100,9
DEF,Houston Defense,17,4800,9
DEF,St. Louis Defense,16,4600,9
DEF,Seattle Defense,14,5500,9
DEF,New Orleans Defense,12,4600,9
DEF,Arizona Defense,11,5100,9
DEF,New England Defense,11,5100,9
DEF,Dallas Defense,9,4700,9
DEF,Cleveland Defense,9,4800,9
DEF,San Francisco Defense,9,5200,9
DEF,Pittsburgh Defense,9,4800,9
DEF,Cincinnati Defense,8,5600,9
DEF,Tampa Bay Defense,7,4800,9
DEF,Philadelphia Defense,7,5000,9
DEF,Carolina Defense,7,4600,9
DEF,Kansas City Defense,7,5300,9
DEF,Minnesota Defense,7,4900,9
DEF,Baltimore Defense,7,4900,9
DEF,Jacksonville Defense,5,4500,9
DEF,Indianapolis Defense,5,5200,9
DEF,Oakland Defense,3,4500,9
DEF,New York J Defense,1,4500,9
DEF,Washington Defense,1,4800,9
DEF,Denver Defense,-1,4900,9
DEF,New York G Defense,-3,4600,9
DEF,San Diego Defense,-4,4700,9
